id,mssubclass,lotshape,landcontour,landslope,bldgtype,housestyle,overallqual,overallcond,lotfrontage,lotarea,garagearea,grlivarea,totalbsmtsf,saleprice,gentle_slope,moderate_slope,severe_slope,regular_shape,ordinal_lot_shape,mean_land_contour,lotfrontage_mean_norm,lotarea_mean_norm,garagearea_mean_norm,grlivarea_mean_norm,totalbsmtsf_mean_norm,saleprice_mean_norm,lotfrontage_standard,lotarea_standard,garagearea_standard,grlivarea_standard,totalbsmtsf_standard,saleprice_standard
170,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Very Good,Above Average,,16669,511,1707,1686,228000,1,0,0,4,1,0.99,,0.02875585742975166,0.026812315242382673,0.03608445768083327,0.10287570342802053,0.0653781476317026,,0.6165831636197525,0.17788601019803038,0.36462242122256977,1.4332762504082512,0.5928178690966569
171,1-1/2 STORY FINISHED ALL AGES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Average,Above Average,,12358,660,1382,720,128500,1,0,0,4,1,0.99,,0.008605818868439174,0.13188988929033754,-0.0251438769084659,-0.05522576956706948,-0.07279710580532003,,0.1845259887104194,0.8750220180252211,-0.2540711948168425,-0.7694118367451195,-0.6600894443051969
178,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Average,Average,,13650,451,1920,1052,172500,1,0,0,0,0,0.99,,0.014644754108804689,-0.015500801823907878,0.07621256619628165,-0.0008886173575768446,-0.011694481169852741,,0.31401285254313993,-0.10283989899412695,0.7701046988114769,-0.012380320249343976,-0.1060399790822666
181,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse Inside Unit,Two story,Above Average,Average,,2117,440,1525,756,177000,1,0,0,0,0,0.99,,-0.039261623698575714,-0.023258206619394477,0.0017965903108257374,-0.049333789207004014,-0.005445349104861768,,-0.8418478290224687,-0.1543063156793558,0.018153996240498918,-0.6873240819443727,-0.04937582922992145
187,SPLIT OR MULTI-LEVEL,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Split Level,Good,Average,,9947,497,1217,1188,173000,1,0,0,4,1,0.99,,-0.002663432574688733,0.016939254593581546,-0.056229031392263935,0.021369975113781584,-0.011000133162631522,,-0.057109327621383474,0.11238329805319366,-0.5681771844983902,0.2977289756645881,-0.09974396243200602
192,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Excellent,,7472,484,1479,725,184000,1,0,0,4,1,0.99,,-0.014231826320744963,0.007771412562551925,-0.006869573969505838,-0.05440743896150483,0.004275522996235302,,-0.3051588539263242,0.05155935106155958,-0.06941494633738712,-0.7580107596894602,0.03876840387372655
208,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Below Average,Average,,12493,312,1100,1100,141000,1,0,0,4,1,0.99,,0.009236822163678604,-0.11352618969414766,-0.07827123184441163,0.006967356455843778,-0.055438405624789557,,0.19805596287250707,-0.7531882552892913,-0.7909068862725787,0.097070019484985,-0.5026890280486827
209,2-STORY 1946 & NEWER,Slightly irregular,Depression,Moderate Slope,Single-family Detached,Two story,Good,Average,,14364,454,2062,1157,277000,0,1,0,4,1,0.25,,0.017982060425848788,-0.01338514597059335,0.1029646385399139,0.016296325359280765,0.1334242523393821,,0.3855713825559592,-0.08880360353451908,1.0404262172040817,0.22704229791950067,1.2098275008221928
215,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Good,,10900,299,1392,689,161750,1,0,0,4,1,0.99,,0.001790983279853322,-0.12269403172517727,-0.023259928151872077,-0.0602994193215703,-0.026622963325108957,,0.03840226775987249,-0.8140122022809255,-0.23503446816947593,-0.8400985144902069,-0.2414043370628689
219,1-1/2 STORY FINISHED ALL AGES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Good,Excellent,,15660,431,1954,798,311500,1,0,0,4,1,0.99,,0.024039692060147323,-0.02960517417933806,0.08261799196870065,-0.04245981212026097,0.18133426483764623,,0.5154591345120009,-0.1964152020581794,0.8348295694125231,-0.5915550346768348,1.6442526496901724
222,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,,8068,390,2267,1010,200000,1,0,0,4,1,0.99,,-0.011446063624724957,-0.058519137507969936,0.14158558805008722,-0.0077625944443198884,0.02649465922731432,,-0.24542652355147787,-0.38824457333948686,1.4306791134750956,-0.10814936751688184,0.24024093668206484
235,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,,7851,440,1960,860,216500,1,0,0,0,0,0.99,,-0.012460342995591301,-0.023258206619394477,0.08374836122265694,-0.03231251261125933,0.049408143465614555,,-0.2671747042416484,-0.1543063156793558,0.846251605400943,-0.4501816791866599,0.4480094861406637
238,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Good,,9453,457,1744,996,194500,1,0,0,4,1,0.99,,-0.004972437225416724,-0.011269490117278822,0.04305506808023041,-0.010053920139900904,0.018856831147880906,,-0.10661901085154134,-0.0747673080749112,0.43505830981782595,-0.14007238327272778,0.17098475352919856
245,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,,8880,463,2110,948,205000,1,0,0,4,1,0.99,,-0.007650695656321863,-0.007038178410649768,0.11200759257156424,-0.017909893953321526,0.03343813929952651,,-0.16404623451729125,-0.04669471715569548,1.1318025051114409,-0.24952272300705677,0.3032011031846706
250,1-1/2 STORY FINISHED ALL AGES,Moderately Irregular,Depression,Severe Slope,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Good,,159000,389,2144,1444,277000,0,0,1,4,2,0.25,,0.694024968649925,-0.059224356125741444,0.11841301834398324,0.06326850211869157,0.1334242523393821,,14.881285033724204,-0.3929233384926895,1.196527375712487,0.8814641209143427,1.2098275008221928
1430,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Good,,12546,467,1440,1440,182900,1,0,0,4,1,0.99,,0.009484549383291121,-0.00421730393956373,-0.014216974120221737,0.06261383763423985,0.0027479573803486194,,0.20336773050651186,-0.027979656542884996,-0.1436581802621166,0.8723432592698153,0.024917167243153293
270,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Good,,7917,504,1113,1143,148000,1,0,0,4,1,0.99,,-0.01215185249569647,0.02187578491798211,-0.07582209846083968,0.01400499966369975,-0.04571753352369248,,-0.26056005020685,0.14513465412561202,-0.7661591416310022,0.1951192821636547,-0.4145447949450346
288,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Below Average,Below Average,,8125,0,858,858,88000,1,0,0,4,1,0.99,,-0.01117964001117942,-0.33355439843885853,-0.1238627917539821,-0.03263984485348519,-0.1290392943902388,,-0.23971386779415196,-2.2129629830885094,-1.2515956711388487,-0.4547421100089236,-1.1700667929763031
289,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,,9819,280,900,882,122000,1,0,0,4,1,0.99,,-0.0032617171805453785,-0.13609318546283594,-0.11595020697628805,-0.02871185794677488,-0.0818236298991959,,-0.06993774756765919,-0.9029087401917752,-1.1716414192199092,-0.4000169401417591,-0.7419376607585844
294,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Good,,16659,539,2263,795,235000,1,0,0,4,1,0.99,,0.028709116444919112,0.046558436539984926,0.1408320085474497,-0.042950810483599756,0.07509901973279967,,0.6155809433114497,0.3088914344877038,1.4230644228161489,-0.5983956809102304,0.6809621022003048
308,1-1/2 STORY FINISHED ALL AGES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Good,,7920,0,1406,319,89500,1,0,0,4,1,0.99,,-0.012137830200246703,-0.33355439843885853,-0.02062239989264073,-0.12085588413335425,-0.12695625036857514,,-0.26025938411435917,-2.2129629830885094,-0.2083830508631628,-1.6837782166089927,-1.1511787430255216
309,1-STORY 1945 & OLDER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Below Average,Average,,12342,539,861,861,82500,1,0,0,4,1,0.99,,0.008531033292707093,0.046558436539984926,-0.12329760712700395,-0.032148846490146404,-0.1366771224696722,,0.18292243621713491,0.3088914344877038,-1.2458846531446388,-0.44790146377552803,-1.2393229761291695
311,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,,7685,420,1501,697,165600,1,0,0,4,1,0.99,,-0.013236243343811639,-0.03736257897482466,-0.0027248867049994322,-0.05899009035266686,-0.021276483669505568,,-0.2838115613594748,-0.24788161874340822,-0.027534147713180756,-0.8218567912011521,-0.19292500885586247
320,SPLIT OR MULTI-LEVEL,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Split Level,Good,Average,,14115,588,1472,1372,187500,1,0,0,0,0,0.99,,0.01681820990351828,0.08111414881078888,-0.008188338099121513,0.05148454139856064,0.009135959046783836,,0.3606160968792197,0.5381509269946323,-0.0827406549905437,0.7172886113128493,0.08284052042555055
